hashtag,count
#FarmersProtest,9080
#ModiIgnoringFarmersDeaths,1316
#GoBackModi,786
#ModiDontSellFarmers,775
#RememberSirChhotuRamInModiEra,686
#ModiGlobalDisaster,567
#FarmersProtests,510
#RepealOnlyWayAhead,488
#ReleaseDetainedFarmers,440
#FreeNodeepKaur,350
